agent,full_name,refactoring_type,count
Human,alibaba/freeline,Move And Rename Method,3
Human,alibaba/freeline,Move Attribute,4
Human,alibaba/freeline,Move Class,4
Human,alibaba/freeline,Move Method,28
Human,alibaba/freeline,Move Package,4
Human,alibaba/freeline,Move Source Folder,4
Human,alibaba/freeline,Rename Attribute,2
Human,alibaba/freeline,Rename Class,7
Human,alibaba/freeline,Rename Method,4
Human,alibaba/freeline,Rename Parameter,2
Human,alibaba/freeline,Rename Variable,4
Human,amlcurran/ShowcaseView,Add Attribute Annotation,3
Human,amlcurran/ShowcaseView,Add Class Annotation,3
Human,amlcurran/ShowcaseView,Add Method Annotation,18
Human,amlcurran/ShowcaseView,Add Parameter,13
Human,amlcurran/ShowcaseView,Add Parameter Annotation,10
Human,amlcurran/ShowcaseView,Add Parameter Modifier,1
Human,amlcurran/ShowcaseView,Change Attribute Access Modifier,11
Human,amlcurran/ShowcaseView,Change Attribute Type,5
Human,amlcurran/ShowcaseView,Change Class Access Modifier,18
Human,amlcurran/ShowcaseView,Change Method Access Modifier,6
Human,amlcurran/ShowcaseView,Change Parameter Type,4
Human,amlcurran/ShowcaseView,Change Variable Type,1
Human,amlcurran/ShowcaseView,Extract Attribute,19
Human,amlcurran/ShowcaseView,Extract Class,1
Human,amlcurran/ShowcaseView,Extract Method,4
Human,amlcurran/ShowcaseView,Extract Superclass,1
Human,amlcurran/ShowcaseView,Extract Variable,14
Human,amlcurran/ShowcaseView,Inline Method,1
Human,amlcurran/ShowcaseView,Inline Variable,2
Human,amlcurran/ShowcaseView,Move Attribute,4
Human,amlcurran/ShowcaseView,Move Class,1
Human,amlcurran/ShowcaseView,Move Code,1
Human,amlcurran/ShowcaseView,Move Method,4
Human,amlcurran/ShowcaseView,Parameterize Variable,3
Human,amlcurran/ShowcaseView,Pull Up Method,3
Human,amlcurran/ShowcaseView,Remove Attribute Modifier,14
Human,amlcurran/ShowcaseView,Remove Parameter,9
Human,amlcurran/ShowcaseView,Rename Attribute,13
Human,amlcurran/ShowcaseView,Rename Class,1
Human,amlcurran/ShowcaseView,Rename Method,5
Human,amlcurran/ShowcaseView,Rename Parameter,7
